"team","total_payroll","minimum","maximum","first_quartile","median","third_quartile","average","iqr","std_dev","color"
"CHI",84438598,525090,20093063,1427340,3440220,8237190,6031328.42857143,6809850,6211530.5229716,"#CE1141"
"ORL",44078752,161776,11250000,1294440,2505720,4300000,3390673.23076923,3005560,2878869.21456565,"#007DC5"
"CHO",81586245,301444,13833333,1201440,3034356,6331404,4799190.88235294,5129964,4300681.79674289,"#1D1160"
"MIN",60224230,247623,12365000,1480627,2102640,5744910,4301730.71428571,4264283.25,4059477.57144544,"#005083"
"POR",45796397,525093,7500000,968246,2637720,4618143.5,3053093.13333333,3649897.5,2394231.49598783,"#E03A3E"
"ATL",79358759,525093,1.9e+07,1304520,2870000,5746479,4668162.29411765,4441959,4885205.66329671,"#E13A3E"
"WAS",88016373,561716,15851950,1940180,3650000,5908546.25,4889798.5,3968366.25,4443155.34175936,"#002B5C"
"PHO",61521538,114285,13086957,1066290,2084460,5500000,4394395.57142857,4433710,4823930.53026399,"#E56020"
"UTA",57600555,105888,15409570,972830,1794120,3443750,3600034.6875,2470920,4564892.58424792,"#002B5C"
"LAC",110565602,92664,21468696,1100600,3250000,8474750,6142533.44444444,7374150,7029360.34556269,"#ED174C"
"NOP",80539818,44000,15514031,1100000,3e+06,8500000,4737636.35294118,7400000,4911441.6309216,"#002B5C"
"MIA",121799148,43243,25309344,950486,2481720,7847668.5,6410481.47368421,6897183,8078218.01999389,"#98002E"
"BOS",75131671,61776,17595904,1805730,3021242.5,6228217.25,4695729.4375,4422487.25,4609477.89554798,"#008348"
"CLE",118005558,8819,22971000,1185460,3525000,9822846.75,6555864.33333333,8637386.75,7121951.9073533,"#860038"
"DET",83412783,99418,1.6e+07,2170465,3e+06,6500000,4906634.29411765,4329535,4548367.53805401,"#006BB6"
"GSW",86817372,845059,15500000,1455410,3844199,11625538.5,6201240.85714286,10170128.5,5490394.77047554,"#FDB927"
"SAS",95553019,525093,19500000,1499000,2814000,7402475,5620765.82352941,5903475,5916022.72146777,"#BAC3C9"
"OKC",97622660,352750,20158622,1881900,3307000,6941322.5,6101416.25,5059422.5,6445865.6572865,"#007DC3"
"BRK",54658330,161622,2e+07,972794,1349190,2674130,3416145.625,1701336,5225425.89291514,"#061922"
"HOU",75098917,83583,22359364,1121360,2288205,7346515,5006594.46666667,6225155,6431068.00028015,"#CE1141"
"TOR",81865915,650000,13500000,2335500,4075596.5,6820153.75,5116619.6875,4484653.75,3827718.88743533,"#CE1141"
"LAL",72230125,525093,2.5e+07,913204,1724250,5161144.5,4815341.66666667,4247941,6804634.88454589,"#552582"
"NYK",75506298,105888,22875000,1228374,2225000,5525703,4719143.625,4297328.75,5940308.10362915,"#F58426"
"DEN",50277407,148552,1.4e+07,1587480,2814000,4354127,3867492.84615385,2766647,4146604.6314071,"#4D90CD"
"SAC",70847101,525093,14728844,998384,3156600,6916666.5,4723140.06666667,5918282,4508271.40189204,"#724C9F"
"MEM",62233143,89588,19700000,554884,1404600,5334269.5,4148876.2,4779386,5385001.61339676,"#0F586C"
"IND",83348665,845000,17120106,1269160,4e+06,6875000,5209291.5625,5605840,4727567.9568233,"#FFC633"
"PHI",33727921,284183,6500000,904839,1075301,2686690,1873773.38888889,1781851.25,1654472.23367429,"#006BB6"
"DAL",87969052,525093,16400000,1274801,4e+06,9666667,5864603.46666667,8391866,5594496.61701916,"#007DC5"
"MIL",73920300,845059,16400000,1715370,2671130.5,5514330,4620018.75,3798960,4789046.15865643,"#00471B"
