"","name","position","points","total_rebounds","assists","steals","blocks","MFG","MFT","TO","games","EFF","salary"
"1","Al Horford","C",1249,596,263,68,121,-519,-26,-107,82,6.80467022051783,1.2e+07
"2","Dennis Schroder","PG",879,204,349,70,9,-452,-38,-183,80,4.74696122603235,1763400
"3","Jeff Teague","PG",1239,214,470,97,24,-554,-51,-218,79,6.3159161006344,8e+06
"4","Justin Holiday","SG",63,27,11,13,4,-49,-5,-13,26,1.95442698458617,2481720
"5","Kent Bazemore","SF",872,379,171,98,38,-405,-28,-138,75,5.83110868777833,2891760
"6","Kirk Hinrich","PG",5,12,14,2,1,-9,0,-3,11,0.964551236182436,15500000
"7","Kris Humphries","PF",134,71,13,10,7,-54,-13,-14,21,3.36363387412515,4131720
"8","Kyle Korver","SG",739,260,164,60,35,-348,-9,-98,80,4.77785626993548,1.2e+07
"9","Lamar Patterson","SG",84,50,39,9,2,-52,-6,-23,35,1.90380240722428,19500000
"10","Mike Muscala","C",195,117,34,13,27,-76,-8,-27,60,1.67590004376382,3333333
"11","Mike Scott","PF",464,206,78,25,17,-200,-13,-42,75,2.71534684507569,2109294
"12","Paul Millsap","PF",1385,732,265,147,139,-565,-99,-191,81,10.6940342381099,3400000
"13","Shelvin Mack","PG",93,22,38,8,0,-55,-3,-14,24,1.56742029046341,2433333
"14","Thabo Sefolosha","SF",480,334,107,85,37,-184,-37,-68,75,4.18216900840411,4e+06
"15","Tiago Splitter","C",201,120,30,20,12,-74,-9,-24,36,2.72098729295642,8500000
"16","Tim Hardaway","SG",326,86,51,21,7,-151,-6,-23,51,2.52445694961342,1304520
"17","Walter Tavares","C",25,21,3,1,6,-8,-5,-5,11,1.4280207740492,1e+06
"18","Amir Johnson","PF",577,505,138,52,83,-177,-52,-94,79,5.29650558067218,1.2e+07
"19","Avery Bradley","SG",1155,220,158,117,19,-563,-27,-109,76,6.24766982542165,7730337
"20","Coty Clarke","SF",6,1,0,0,0,-2,0,-1,3,0.464339470235269,61776
"21","David Lee","PF",214,130,54,12,13,-105,-11,-38,30,4.29305996919245,17595904
"22","Evan Turner","SG",854,397,359,80,28,-410,-31,-169,81,6.8574178683095,3425510
"23","Isaiah Thomas","PG",1823,243,509,91,9,-791,-70,-220,82,6.95857419288645,6912869
"24","Jae Crowder","SF",1038,373,135,126,35,-453,-43,-83,73,6.12048676382608,6e+06
"25","James Young","SG",29,26,9,6,1,-25,-3,-5,29,0.955501861710542,1749840
"26","Jared Sullinger","PF",834,673,187,75,47,-455,-58,-102,81,6.60954419797606,2269260
"27","Jonas Jerebko","PF",340,288,62,20,24,-168,-17,-52,78,2.64842014847337,4660482
"28","Jordan Mickey","PF",21,13,1,0,11,-14,-5,-1,16,1.1941335489627,301444
"29","Kelly Olynyk","C",687,281,105,52,33,-303,-32,-74,69,4.40196374480066,1920240
"30","Marcus Smart","PG",558,255,185,91,18,-345,-37,-80,61,5.23272042998543,1437107
"31","R.J. Hunter","SG",97,37,13,14,4,-62,-1,-11,36,1.50215996968312,9500000
"32","Terry Rozier","PG",72,63,37,6,1,-77,-2,-19,39,1.30498094383362,1824360
"33","Tyler Zeller","C",364,178,29,10,22,-152,-20,-46,60,2.37915291011876,2616975
"34","Andrea Bargnani","C",304,97,18,4,9,-152,-10,-26,46,2.09497717216423,1362900
"35","Bojan Bogdanovic","SF",887,255,99,29,5,-425,-22,-115,79,3.84500327871442,3425510
"36","Brook Lopez","C",1501,573,147,58,124,-566,-86,-175,73,8.14152567424404,2e+07
"37","Chris McCullough","PF",112,68,9,28,12,-65,-12,-15,24,3.78678860980528,1140240
"38","Donald Sloan","PG",424,173,268,32,4,-196,-26,-80,61,3.53043726130165,1015421
"39","Henry Sims","C",91,72,9,9,14,-44,-5,-12,14,3.70919021883075,161622
"40","Jarrett Jack","PG",411,136,236,34,7,-218,-12,-94,32,6.35651890981284,6300000
"41","Markel Brown","SG",363,122,91,38,15,-195,-23,-54,62,3.52446976989982,8e+06
"42","Rondae Hollis-Jefferson","SF",167,154,43,39,16,-75,-15,-26,29,4.55949769484156,1499187
"43","Sean Kilpatrick","SG",318,50,26,10,2,-134,-6,-27,23,4.08389320571893,12350000
"44","Sergey Karasev","SF",97,58,35,6,2,-44,-2,-22,40,1.33958766965131,947276
"45","Shane Larkin","PG",566,180,342,95,12,-280,-24,-146,78,4.17196778492971,5543725
"46","Thaddeus Young","PF",1102,660,135,112,37,-468,-58,-136,73,8.12263712306397,11200000
"47","Thomas Robinson","PF",307,359,46,39,36,-161,-62,-69,71,4.05908691470961,981300
"48","Wayne Ellington","SG",586,174,83,48,5,-343,-9,-45,76,3.18655531162984,2423670
"49","Willie Reed","PF",182,122,10,6,30,-57,-25,-16,39,2.70877862200519,947276
"50","Aaron Brooks","PG",491,101,180,30,10,-281,-15,-82,69,2.88044725269954,2e+06
"51","Bobby Portis","PF",436,337,52,25,22,-250,-18,-54,62,3.8347952394244,1391160
"52","Cameron Bairstow","C",34,28,6,2,3,-27,-1,-4,18,1.06941516975859,845059
"53","Cristiano Felicio","C",105,102,26,6,13,-32,-10,-13,31,1.91451737340259,525090
"54","Derrick Rose","PG",1080,225,311,44,14,-601,-37,-175,66,6.02869462901912,20093063
"55","Doug McDermott","SF",764,195,59,14,6,-353,-12,-53,81,2.60435211060602,2380440
"56","E'Twaun Moore","SG",443,133,99,37,18,-202,-13,-53,59,3.77991246265535,1015421
"57","Jimmy Butler","SG",1399,358,321,110,43,-565,-80,-132,67,10.0550723055598,15260000
"58","Joakim Noah","C",124,255,110,18,29,-82,-23,-52,29,5.72472053817674,13400000
"59","Mike Dunleavy","SF",222,83,39,14,10,-111,-8,-26,31,3.13227436651435,4354127
"60","Nikola Mirotic","PF",777,362,100,58,46,-361,-35,-102,66,6.06847750162609,12100000
"61","Pau Gasol","C",1187,793,294,42,146,-528,-60,-164,72,8.62388231249007,17120106
"62","Taj Gibson","PF",627,504,106,47,77,-237,-45,-78,73,5.41032974101283,8500000
"63","Tony Snell","SF",338,199,63,16,17,-213,-3,-52,64,2.5864387935909,1535880
"64","Aaron Harrison","SG",18,15,2,6,0,-14,-7,-4,21,1.06581966814017,525093
"65","Al Jefferson","C",562,301,70,30,41,-260,-39,-34,47,5.03397898181503,13833333
"66","Brian Roberts","PG",145,29,38,7,1,-64,-3,-16,30,1.50837917722642,2854940
"67","Cody Zeller","C",638,455,71,57,63,-206,-57,-68,73,4.34392367340577,4204200
"68","Courtney Lee","SG",250,87,60,33,12,-122,-3,-23,28,4.86373454123162,5675000
"69","Frank Kaminsky","C",606,335,98,38,43,-310,-40,-58,81,3.53957803728385,2612500
"70","Jeremy Lamb","SG",580,252,77,42,30,-280,-24,-50,66,4.62287871600691,3034356
"71","Jeremy Lin","SG",914,253,235,58,42,-428,-54,-150,78,6.48334824827933,2100000
"72","Jorge Gutierrez","PG",22,7,17,3,0,-5,-1,-6,12,0.955620108916834,7402812
"73","Kemba Walker","PG",1689,357,421,126,39,-763,-67,-171,81,7.62701900146213,2144722
"74","Marvin Williams","PF",948,521,110,58,77,-409,-24,-62,81,5.35006504264134,1415520
"75","Michael Kidd-Gilchrist","SF",89,45,9,3,3,-28,-9,-8,7,5.45923028468256,9588426
"76","Nicolas Batum","SF",1046,428,403,65,43,-501,-29,-205,70,7.95563681127339,2869440
"77","P.J. Hairston","SF",286,128,29,24,7,-177,-8,-24,48,2.51895770833636,5500000
"78","Spencer Hawes","PF",340,244,109,22,27,-182,-11,-58,57,3.87063205427304,5543725
"79","Troy Daniels","SG",242,57,21,11,3,-98,-4,-24,43,1.92593822841552,947276
"80","Tyler Hansbrough","PF",104,89,8,12,7,-39,-27,-12,44,1.82001872300363,1185784
"81","Anderson Varejao","C",80,91,20,11,5,-44,-5,-16,31,1.84633608569705,10097129
"82","Channing Frye","C",196,93,26,8,8,-90,-3,-13,26,2.7991847802386,7807579
"83","Dahntay Jones","SF",13,5,2,1,2,-8,0,0,1,5.87017895560461,8819
"84","Iman Shumpert","SG",311,203,92,54,19,-191,-11,-57,54,4.55711606481434,9e+06
"85","J.R. Smith","SG",955,217,130,81,21,-497,-26,-59,77,5.08100879806981,5e+06
"86","James Jones","SF",178,50,14,11,10,-84,-5,-13,48,1.34960343479122,1499000
"87","Jared Cunningham","SG",104,29,19,12,2,-59,-18,-18,40,1.75148273370775,1039074
"88","Joe Harris","SG",3,3,2,0,0,-3,0,-1,5,0.513450033324048,845059
"89","Jordan McRae","PG",62,12,15,0,1,-29,-4,-9,15,1.40531907383289,1200000
"90","Kevin Love","PF",1234,762,186,58,41,-568,-56,-142,77,7.8146965978773,7402475
"91","Kyrie Irving","PG",1041,157,249,56,18,-485,-22,-124,53,6.31484774838366,525093
"92","LeBron James","SF",1920,565,514,104,49,-679,-132,-249,76,11.160188146568,228460
"93","Matthew Dellavedova","PG",569,162,337,44,9,-304,-9,-116,76,3.45233963908549,2894059
"94","Mo Williams","PG",338,72,98,14,5,-170,-4,-57,41,2.88949578458396,10300000
"95","Richard Jefferson","SF",410,128,59,33,14,-169,-29,-43,74,2.39193884325689,1050000
"96","Sasha Kaun","C",23,26,3,4,5,-8,-6,-7,25,0.811225329756083,1356146
"97","Timofey Mozgov","C",475,337,33,22,57,-156,-27,-71,76,2.8924245544385,4950000
"98","Tristan Thompson","PF",643,738,62,38,51,-173,-93,-61,82,5.00063958688046,14260870
"99","Chandler Parsons","SF",837,285,169,46,21,-331,-43,-95,61,5.68098803796369,15361500
"100","Charlie Villanueva","PF",319,152,24,18,15,-202,-2,-31,62,2.27751182951845,1499187
"101","Deron Williams","PG",918,190,378,61,14,-454,-27,-150,65,5.58239459730873,1.1e+07
