"team","name","salary","position","age","height","weight","dob","country","experience","college","games","games_started","minutes_played","field_goals","field_goal_attempts","field_goal_pct","three_pointers","three_point_attempts","three_point_pct","two_pointers","two_point_attempts","two_point_pct","effective_field_goal_pct","free_throws","free_throw_attempts","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","outlier"
"CHI","Aaron Brooks",2e+06,"PG",31,72,161,1985-01-14,"us","7","University of Oregon",69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,FALSE
"ORL","Aaron Gordon",4171680,"PF",20,81,220,1995-09-16,"us","1","University of Arizona",78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,FALSE
"CHO","Aaron Harrison",525093,"SG",21,78,210,1994-10-28,"us","0","University of Kentucky",21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,FALSE
"MIN","Adreian Payne",1938840,"PF",24,82,237,1991-02-19,"us","1","Michigan State University",52,2,486,53,145,0.366,9,32,0.281,44,113,0.389,0.397,17,26,0.654,20,91,111,29,16,11,36,77,132,FALSE
"POR","Al-Farouq Aminu",7500000,"SF",25,81,220,1990-09-21,"us","5","Wake Forest University",82,82,2341,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839,FALSE
"ATL","Al Horford",1.2e+07,"C",29,82,245,1986-06-03,"do","8","University of Florida",82,82,2631,529,1048,0.505,88,256,0.344,441,792,0.557,0.547,103,129,0.798,148,448,596,263,68,121,107,163,1249,FALSE
"CHO","Al Jefferson",13833333,"C",31,82,289,1985-01-04,"us","11","",47,18,1096,245,505,0.485,0,0,NA,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,FALSE
"WAS","Alan Anderson",4e+06,"SG",33,78,220,1982-10-16,"us","6","Michigan State University",13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,FALSE
"PHO","Alan Williams",114285,"PF",23,80,260,1993-01-28,"us","0","University of California, Santa Barbara",10,0,68,10,24,0.417,0,0,NA,10,24,0.417,0.417,9,14,0.643,14,24,38,5,4,5,6,15,29,FALSE
"UTA","Alec Burks",9213484,"SG",24,78,214,1991-07-20,"us","4","University of Colorado",31,3,797,137,334,0.41,32,79,0.405,105,255,0.412,0.458,106,141,0.752,16,93,109,63,18,4,51,71,412,FALSE
"PHO","Alex Len",3807120,"C",22,85,260,1993-06-16,"ua","2","University of Maryland",78,46,1821,264,624,0.423,1,7,0.143,263,617,0.426,0.424,174,239,0.728,178,416,594,97,38,62,145,230,703,FALSE
"LAC","Alex Stepheson",92664,"PF",28,82,270,1987-08-07,"us","0","University of Southern California",4,0,12,1,1,1,0,0,NA,1,1,1,1,0,2,0,1,1,2,0,0,2,0,4,2,TRUE
"NOP","Alexis Ajinca",4300000,"C",27,86,248,1988-05-06,"fr","5","",59,17,861,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352,FALSE
"POR","Allen Crabbe",947276,"SG",23,78,210,1992-04-09,"us","2","University of California",81,8,2105,311,678,0.459,112,285,0.393,199,393,0.506,0.541,98,113,0.867,27,189,216,99,63,16,64,192,832,FALSE
