"team","total_payroll","minimum","maximum","first_quartile","median","third_quartile","average","iqr","std_dev","color"
"CHI",100520346,525090,20093063,1427340,3367283.5,13075000,7180024.71428571,11647660,7022591.76175339,"#CE1141"
"ORL",34778995,845059,5192520,1500000,2380594,4171680,2675307.30769231,2671680,1533337.61200344,"#007DC5"
"CHO",71437127,525093,13833333,2100000,2869440,5543725,4202183.94117647,3443725,3489108.14705251,"#1D1160"
"MIN",78043150,247623,19500000,1285170,1719013.5,9877170,5574510.71428571,8592000,6590614.40547022,"#005083"
"POR",50221246,306527,7500000,968246,3e+06,5500000,3348083.06666667,4531754,2551506.37213514,"#E03A3E"
"ATL",104349080,1e+06,19500000,2433333,3400000,8500000,6138181.17647059,6066667,5537832.68257419,"#E13A3E"
"WAS",65933711,561716,1.2e+07,1793188,3378900,4287500,3662983.94444444,2494312.5,2727832.80632786,"#002B5C"
"PHO",72353279,114285,15500000,1235880,2084460,10250000,5168091.35714286,9014120,5589417.49043214,"#E56020"
"UTA",62451437,105888,15409570,914578,2244900,5206250,3903214.8125,4291672.5,4589937.06079935,"#002B5C"
"LAC",103911073,92664,21468696,668970,1746000,8616750,5772837.38888889,7947780.25,7257027.90543733,"#ED174C"
"NOP",89838226,281659,15514031,1764858,4e+06,8e+06,5284601.52941176,6235142,4507728.46482222,"#002B5C"
"MIA",114618571,43243,25309344,950486,2170465,5949500,6032556.36842105,4999014.5,8091334.50231705,"#98002E"
"BOS",80006104,61776,17595904,1805730,3021242.5,7117236,5000381.5,5311506,4796112.91155299,"#008348"
"CLE",79463763,8819,14260870,1041806,2196529.5,7706303,4414653.5,6664497.5,4365593.26929848,"#860038"
"DET",99414847,525093,20158622,1709720,3272091,7900000,5847932.17647059,6190280,5819825.63432922,"#006BB6"
"GSW",129142746,845059,2.5e+07,1455410,9185393,13725000,9224481.85714286,12269590,8196109.24983249,"#FDB927"
"SAS",91211654,161776,19700000,1404600,3950313,7e+06,5365391.41176471,5595400,5253752.9429097,"#BAC3C9"
"OKC",85335564,1210800,16400000,2080380,3672000,6282793.75,5333472.75,4202413.75,4597445.2349858,"#007DC3"
"BRK",77298127,161622,2e+07,1006891,1961428.5,6725000,4831132.9375,5718109.25,5572409.26162052,"#061922"
"HOU",77652004,83583,22359364,1399594,2399040,6948315,5176800.26666667,5548721.5,6291720.4387253,"#CE1141"
"TOR",69830631,525093,13500000,1520340,3295422,6820153.75,4364414.4375,5299813.75,3620105.61776662,"#CE1141"
"LAL",76216814,191456,1.3e+07,1058012,3075880,9358695.5,5081120.93333333,8300684,4860833.47503558,"#552582"
"NYK",58104751,105888,22875000,845059,1149239.5,4925000,3631546.9375,4079941,5690824.41092066,"#F58426"
"DEN",49241185,148552,1.4e+07,2e+06,3102240,4500000,3787783.46153846,2500000,3430440.72756686,"#4D90CD"
"SAC",41024927,111444,14728844,922530,1175880,3277440,2734995.13333333,2354910.5,3671516.52558233,"#724C9F"
"MEM",51222698,89588,16744218,409189,1230840,4834269.5,3414846.53333333,4425080.5,4612656.84386022,"#0F586C"
"IND",66155492,44000,1.9e+07,961265,2335232.5,4610189.25,4134718.25,3648924.5,5152773.13762236,"#FFC633"
"PHI",43798672,305789,12365000,947276,1115575,2686690,2433259.55555556,1739414,2960573.57556352,"#006BB6"
"DAL",99913854,99418,16400000,1375814,4053000,12135482,6660923.6,10759668.5,6124851.81751349,"#007DC5"
"MIL",70107237,855000,16400000,1399390,2935000,5707851,4381702.3125,4308460.75,4247498.74732644,"#00471B"
