"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster.Â.","roster.Exp","roster.College","Team"
"1","1","Justin Anderson","SF","6-6","228","November 19, 1993","us","R","University of Virginia","DAL"
"2","5","J.J. Barea","PG","6-0","185","June 26, 1984","pr","9","Northeastern University","DAL"
"3","21","Jeremy Evans","SF","6-9","200","October 24, 1987","us","5","Western Kentucky University","DAL"
"4","2","Raymond Felton","PG","6-1","205","June 26, 1984","us","10","University of North Carolina","DAL"
"5","34","Devin Harris","PG","6-3","192","February 27, 1983","us","11","University of Wisconsin","DAL"
"6","12","John Jenkins","SG","6-4","215","March 6, 1991","us","3","Vanderbilt University","DAL"
"7","42","David Lee","PF","6-9","245","April 29, 1983","us","10","University of Florida","DAL"
"8","23","Wesley Matthews","SF","6-5","220","October 14, 1986","us","6","Marquette University","DAL"
"9","11","JaVale McGee","C","7-0","270","January 19, 1988","us","7","University of Nevada, Reno","DAL"
"10","50","Salah Mejri","C","7-1","245","June 15, 1986","tn","R","","DAL"
"11","41","Dirk Nowitzki","PF","7-0","245","June 19, 1978","de","17","","DAL"
"12","27","Zaza Pachulia","C","6-11","270","February 10, 1984","ge","12","","DAL"
"13","25","Chandler Parsons","SF","6-10","230","October 25, 1988","us","4","University of Florida","DAL"
"14","7","Dwight Powell","PF","6-11","240","July 20, 1991","ca","1","Stanford University","DAL"
"15","3","Charlie Villanueva","PF","6-11","232","August 24, 1984","us","10","University of Connecticut","DAL"
"16","8","Deron Williams","PG","6-3","200","June 26, 1984","us","10","University of Illinois at Urbana-Champaign","DAL"
