"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster.Â.","roster.Exp","roster.College","Team"
"1","88","Nemanja Bjelica","PF","6-10","240","May 9, 1988","rs","R","","MIN"
"2","5","Gorgui Dieng","C","6-11","241","January 18, 1990","sn","2","University of Louisville","MIN"
"3","21","Kevin Garnett","PF","6-11","240","May 19, 1976","us","20","","MIN"
"4","1","Tyus Jones","PG","6-2","195","May 10, 1996","us","R","Duke University","MIN"
"5","8","Zach LaVine","SG","6-5","189","March 10, 1995","us","1","University of California, Los Angeles","MIN"
"6","23","Kevin Martin","SG","6-7","199","February 1, 1983","us","11","Western Carolina University","MIN"
"7","24","Andre Miller","PG","6-3","200","March 19, 1976","us","16","University of Utah","MIN"
"8","15","Shabazz Muhammad","SF","6-6","223","November 13, 1992","us","2","University of California, Los Angeles","MIN"
"9","33","Adreian Payne","PF","6-10","237","February 19, 1991","us","1","Michigan State University","MIN"
"10","14","Nikola Pekovic","C","6-11","307","January 3, 1986","me","5","","MIN"
"11","12","Tayshaun Prince","SF","6-9","212","February 28, 1980","us","13","University of Kentucky","MIN"
"12","9","Ricky Rubio","PG","6-4","194","October 21, 1990","es","4","","MIN"
"13","10","Damjan Rudez","SF","6-10","228","June 17, 1986","hr","1","","MIN"
"14","4","Greg Smith","PF","6-10","250","January 8, 1991","us","4","California State University, Fresno","MIN"
"15","32","Karl-Anthony Towns","C","7-0","244","November 15, 1995","us","R","University of Kentucky","MIN"
"16","22","Andrew Wiggins","SF","6-8","199","February 23, 1995","ca","1","University of Kansas","MIN"
